LoanID,Jurisdiction,Borrower,Sector,OriginalAmount(USDk),OutstandingAmount(USDk),EAD(USDk),Rating,PD,LGD,InterestRate(%),OriginationDate,MaturityDate,Stage,DaysPastDue,DefaultFlag
LON01492,KY,Spencer-Larson,RealEstate,460.29,359.24,376.99,B,0.05,0.6,4.5,2021-06-27,2024-05-27,1,0,0
LON01493,KY,Vargas-Lopez,Retail,354.63,333.54,345.27,B,0.05,0.25,8.1,2022-09-08,2031-10-08,2,60,0
LON01494,GU,Davis-Watson,InvestmentHoldCo,595.79,543.53,555.92,BB,0.02,0.35,4.17,2020-04-19,2022-09-05,1,30,0
LON01495,KY,Tyler-Young,Hospitality,784.57,645.19,677.31,AA,0.0005,0.6,5.93,2023-03-27,2025-11-22,1,0,0
LON01496,BM,Wyatt Group,PrivateWealth,776.93,613.17,633.68,B,0.05,0.25,8.46,2023-03-25,2030-06-03,1,0,0
LON01497,JE,Gomez-Williamson,PrivateWealth,981.32,924.45,940.68,BB,0.02,0.35,5.44,2021-04-05,2027-07-13,1,0,0
LON01498,KY,Kennedy Inc,RealEstate,186.82,159.29,164.83,A,0.001,0.25,8.55,2023-09-07,2031-07-30,1,90,0
LON01499,JE,Pierce and Sons,RealEstate,1406.73,1117.02,1169.26,BBB,0.005,0.25,4.36,2023-05-22,2027-06-07,1,0,0
LON01500,BM,Hernandez LLC,Technology,1447.36,1116.9,1160.49,BB,0.02,0.25,8.7,2022-04-10,2025-04-16,1,0,0
LON01501,BM,Payne Group,InvestmentHoldCo,649.6,646.36,677.14,A,0.001,0.6,8.39,2021-04-05,2026-03-17,1,0,0
LON01502,KY,"Ali, Rhodes and Ramirez",Retail,520.69,408.21,420.3,BBB,0.005,0.25,8.46,2022-12-06,2024-06-21,1,0,0
LON01503,GU,Jones PLC,Technology,981.5,817.57,844.46,A,0.001,0.45,6.06,2021-10-06,2022-10-31,1,60,0
LON01504,BM,Perkins-Pittman,Retail,873.54,718.62,741.46,B,0.05,0.45,7.91,2023-01-09,2029-09-25,1,0,0
LON01505,JE,Jackson-Smith,Hospitality,439.06,341.17,348.07,B,0.05,0.25,3.69,2023-03-23,2026-03-21,1,60,0
LON01506,KY,"Nielsen, Thomas and Carney",Hospitality,819.52,714.55,743.17,A,0.001,0.6,4.91,2022-10-11,2026-08-09,2,30,0
LON01507,JE,Sanchez and Sons,InvestmentHoldCo,1035.7,953.68,956.74,A,0.001,0.45,4.89,2019-07-14,2023-12-05,1,60,0
LON01508,KY,Curtis Ltd,Shipping,518.46,518.13,541.09,A,0.001,0.25,5.66,2020-05-20,2023-09-09,1,30,0
LON01509,KY,Miranda-Warren,Shipping,320.7,277.6,289.37,BBB,0.005,0.45,5.81,2022-06-19,2030-05-07,1,0,0
LON01510,KY,"Foster, Brown and Hansen",Shipping,1126.63,930.37,937.98,BB,0.02,0.35,4.48,2019-09-06,2024-08-14,1,30,0
LON01511,JE,Sloan-Vang,Energy,464.06,375.64,376.09,BBB,0.005,0.25,6.65,2024-03-22,2031-12-13,1,30,0
LON01512,BM,"Flores, Smith and Russell",PrivateWealth,2349.38,2293.7,2405.6,B,0.05,0.6,6.09,2021-11-15,2025-08-28,1,0,0
LON01513,JE,"Miller, Stout and Robinson",Hospitality,1345.07,1244.9,1266.93,BB,0.02,0.45,8.88,2023-04-30,2032-04-09,1,0,0
LON01514,KY,Rogers Group,InvestmentHoldCo,407.87,322.95,333.08,AA,0.0005,0.35,3.64,2023-08-07,2032-02-09,1,0,0
LON01515,BM,Brown Ltd,Retail,910.76,845.67,867.13,BBB,0.005,0.25,3.34,2023-05-31,2025-06-25,1,0,0
LON01516,KY,Lee Group,Shipping,345.86,283.88,288.49,AA,0.0005,0.35,7.42,2020-06-05,2027-09-22,1,0,0
LON01517,KY,Taylor Group,PrivateWealth,126.84,99.12,102.31,BB,0.02,0.45,3.56,2024-06-08,2027-08-26,1,90,0
LON01518,KY,Owens Group,Hospitality,1368.53,1272.23,1300.94,BBB,0.005,0.35,3.52,2020-10-17,2026-11-22,1,30,0
LON01519,JE,"Garcia, Fitzgerald and Shea",Retail,924.53,733.81,763.04,BBB,0.005,0.25,4.06,2020-04-08,2022-05-30,2,0,0
LON01520,KY,Shannon-Welch,Energy,565.17,532.86,543.31,BBB,0.005,0.6,3.92,2023-11-12,2028-01-19,1,60,0
LON01521,BM,Harris-Fitzgerald,Hospitality,1559.41,1388.74,1449.25,BB,0.02,0.45,6.85,2020-03-30,2022-11-03,1,60,0
LON01522,BM,Nelson-Smith,Technology,1134.34,1054.78,1080.5,BBB,0.005,0.35,6.34,2022-06-19,2030-07-02,1,0,0
LON01523,GU,Edwards-Koch,PrivateWealth,501.84,472.81,481.11,BBB,0.005,0.35,3.01,2019-08-25,2026-10-09,2,60,0
LON01524,BM,Greer Group,Retail,279.55,279.38,288.12,BBB,0.005,0.35,8.44,2019-10-23,2021-09-25,1,0,0
LON01525,KY,"Williams, May and Andrews",Energy,2629.93,2050.99,2094.08,BB,0.02,0.35,5.69,2021-03-19,2025-03-16,1,0,0
LON01526,KY,Parrish-Green,Energy,268.5,210.84,218.9,B,0.05,0.45,4.97,2021-10-05,2026-11-27,1,90,0
LON01527,BM,Hall-Anderson,Hospitality,337.27,307.89,313.79,B,0.05,0.25,7.3,2021-02-14,2024-08-05,1,0,0
LON01528,KY,Wilson-Anderson,Energy,1257.79,1084.11,1113.33,B,0.05,0.25,7.23,2021-03-30,2029-05-21,1,60,0
LON01529,KY,Aguirre-Cook,Technology,683.73,622.6,650.5,BB,0.02,0.25,3.02,2020-01-29,2026-10-25,1,30,0
LON01530,KY,Murray Group,Energy,187.45,160.85,161.2,AAA,0.0001,0.25,5.36,2019-12-25,2027-04-05,1,0,0
LON01531,JE,"Adams, Wolfe and Huerta",Hospitality,516.1,430.23,434.46,A,0.001,0.25,4.05,2020-12-17,2029-05-11,1,0,0
LON01532,JE,Howe-Kim,Retail,2444.46,2044.94,2054.36,BB,0.02,0.45,4.56,2019-09-26,2024-02-08,1,0,0
LON01533,KY,"Anderson, Moore and Robinson",RealEstate,546.1,502.08,513.47,BBB,0.005,0.6,7.11,2022-12-12,2028-05-10,1,60,0
LON01534,BM,"Mcclure, Hicks and Barnes",Retail,1664.0,1649.46,1678.57,B,0.05,0.25,5.59,2020-01-18,2022-07-13,1,90,0
LON01535,KY,Carpenter-Campbell,Hospitality,409.55,350.35,358.52,A,0.001,0.45,3.15,2019-10-06,2022-12-22,1,30,0
LON01536,BM,Hardy and Sons,PrivateWealth,1889.52,1464.8,1536.77,BBB,0.005,0.45,7.29,2023-03-22,2033-03-13,1,60,0
LON01537,KY,Carter Inc,Shipping,270.17,221.24,223.32,AA,0.0005,0.35,5.5,2021-01-04,2028-10-12,1,0,0
LON01538,BM,Garrett-Perkins,Technology,372.84,312.11,325.71,A,0.001,0.45,4.84,2022-07-13,2024-11-28,2,90,0
LON01539,BM,Manning-Brandt,PrivateWealth,388.99,370.41,372.43,A,0.001,0.25,7.48,2024-05-29,2026-03-21,2,60,0
LON01540,KY,Carlson-Lowe,Energy,1003.5,886.95,912.08,BBB,0.005,0.25,5.42,2021-05-11,2026-12-29,1,0,0
LON01541,JE,Duncan-Jones,Energy,1347.48,1244.91,1306.86,A,0.001,0.25,6.79,2021-02-22,2028-08-21,2,0,0
LON01542,BM,"Peterson, Coleman and Sawyer",Energy,3025.28,2615.36,2695.19,BB,0.02,0.35,8.12,2022-04-10,2026-06-23,1,60,0
LON01543,KY,Gonzalez and Sons,Hospitality,939.95,786.18,823.52,BB,0.02,0.6,7.2,2022-11-07,2029-05-27,1,0,0
LON01544,BM,Gilbert Ltd,PrivateWealth,1023.58,879.53,884.74,BBB,0.005,0.25,5.68,2021-06-04,2028-05-04,1,0,0
LON01545,GU,Mendez LLC,Technology,2407.07,1980.29,2006.53,BB,0.02,0.6,6.25,2023-02-14,2028-05-13,1,0,0
LON01546,GU,"Orozco, Castillo and Price",Technology,566.62,529.39,537.79,AA,0.0005,0.25,8.27,2024-05-19,2028-03-20,1,0,0
LON01547,BM,"Nichols, Randolph and Silva",Energy,316.75,272.27,281.9,BBB,0.005,0.6,3.76,2023-06-03,2029-09-21,1,0,0
LON01548,GU,"Matthews, Sanchez and Brown",PrivateWealth,1044.01,1026.92,1068.0,BB,0.02,0.45,5.73,2022-06-16,2026-08-04,1,0,0
LON01549,KY,Long-Williams,Hospitality,1327.9,1117.71,1122.62,B,0.05,0.6,3.15,2022-09-14,2026-11-03,2,0,0
LON01550,BM,Perez Group,Shipping,1889.27,1778.58,1825.0,A,0.001,0.45,6.7,2020-07-23,2028-06-05,1,90,0
LON01551,BM,Murray-Woods,InvestmentHoldCo,1129.22,1068.11,1081.38,B,0.05,0.45,3.82,2021-06-30,2024-06-03,1,60,0
LON01552,JE,"Martinez, Joseph and Key",Technology,979.4,867.67,898.45,BB,0.02,0.6,5.0,2019-11-23,2023-04-27,1,90,0
LON01553,KY,Diaz-Glover,Hospitality,390.04,319.68,329.44,AA,0.0005,0.35,3.56,2021-09-16,2031-06-16,2,0,0
LON01554,BM,Williams-Walker,Retail,1069.03,893.09,929.11,AAA,0.0001,0.35,4.0,2020-11-07,2027-07-27,1,60,0
LON01555,JE,Byrd PLC,PrivateWealth,857.14,701.33,701.96,AA,0.0005,0.45,3.29,2024-02-18,2027-09-11,1,60,0
LON01556,KY,"Smith, Jordan and Baird",Shipping,300.9,243.47,246.95,AAA,0.0001,0.35,5.82,2022-01-30,2029-12-14,3,0,0
LON01557,KY,"Brown, Gonzalez and Kent",Retail,626.36,529.77,554.8,BB,0.02,0.25,4.29,2020-08-03,2022-07-26,1,90,0
LON01558,GU,"Ellison, Medina and Avila",Retail,1930.48,1662.32,1681.58,B,0.05,0.6,7.43,2023-09-09,2030-08-08,2,30,0
LON01559,BM,Wilson LLC,Hospitality,691.76,596.01,623.9,AA,0.0005,0.45,8.18,2021-03-15,2027-08-10,1,30,0
LON01560,BM,Sanders-Price,Shipping,546.02,464.01,482.22,BBB,0.005,0.25,5.0,2023-05-29,2032-01-30,1,0,0
LON01561,BM,Baker-Ortega,Hospitality,2107.03,1990.05,2011.7,BBB,0.005,0.35,6.31,2023-10-30,2032-07-15,2,30,0
LON01562,BM,Ward Inc,Technology,1637.03,1437.05,1437.9,BB,0.02,0.45,6.95,2019-12-26,2028-09-22,1,0,0
LON01563,KY,Alexander-Johnson,PrivateWealth,1288.4,1116.8,1166.95,A,0.001,0.25,4.01,2023-07-03,2025-12-08,1,0,0
LON01564,JE,Smith-Young,Hospitality,1077.62,941.45,964.69,A,0.001,0.25,5.2,2022-07-12,2025-07-28,1,90,0
LON01565,KY,"Anderson, Heath and Coleman",RealEstate,438.18,362.55,369.93,AA,0.0005,0.25,6.88,2019-07-27,2023-08-04,1,0,0
LON01566,BM,"Jensen, Ward and Alexander",Retail,820.9,686.42,703.55,A,0.001,0.6,8.17,2021-07-13,2030-11-04,1,0,0
LON01567,GU,Garcia-Cole,Shipping,1049.28,987.65,997.91,BB,0.02,0.35,3.79,2022-05-25,2023-11-22,1,30,0
LON01568,BM,Adams-Nelson,Shipping,924.96,869.41,876.02,BBB,0.005,0.35,5.6,2022-07-24,2029-09-06,1,30,0
LON01569,GU,"Harrison, Thomas and Clark",Shipping,235.27,231.11,231.72,A,0.001,0.35,3.06,2019-10-03,2026-02-20,1,90,0
LON01570,JE,"Moore, Garcia and Young",Hospitality,916.21,740.89,760.38,BB,0.02,0.25,5.34,2024-04-12,2029-05-19,1,0,0
LON01571,BM,Hughes LLC,Shipping,249.86,198.45,199.08,B,0.05,0.25,8.78,2020-09-01,2025-10-23,2,0,0
LON01572,JE,Jones LLC,Technology,558.42,515.27,534.68,A,0.001,0.25,5.34,2021-01-22,2024-07-11,2,30,0
LON01573,KY,"Lucero, Terry and Marshall",Hospitality,1165.62,1023.1,1043.48,BB,0.02,0.45,6.12,2023-11-05,2027-02-24,1,0,0
LON01574,BM,Cook LLC,Energy,1375.42,1131.71,1135.72,AA,0.0005,0.6,8.04,2021-09-29,2026-02-21,1,0,0
LON01575,GU,"Madden, Walsh and Miller",Hospitality,671.5,648.54,673.77,B,0.05,0.6,7.43,2019-12-14,2028-06-11,1,0,0
LON01576,KY,Lopez Ltd,Energy,917.39,727.53,755.41,BB,0.02,0.25,5.04,2021-07-17,2030-07-27,1,60,0
LON01577,KY,"Silva, Woodard and White",PrivateWealth,321.92,313.08,324.29,A,0.001,0.25,5.71,2021-12-26,2026-07-06,2,0,0
LON01578,BM,Daniels-Page,Hospitality,416.37,338.07,351.73,BBB,0.005,0.25,8.29,2021-09-30,2028-03-18,1,0,0
LON01579,GU,Matthews-Ramsey,RealEstate,971.82,749.75,767.3,BBB,0.005,0.25,5.62,2020-02-02,2029-11-06,1,0,0
LON01580,KY,Cummings-Garcia,Shipping,2523.92,2410.24,2515.14,A,0.001,0.25,3.29,2021-03-15,2025-03-03,1,60,0
LON01581,BM,Williams Ltd,Retail,1118.64,950.53,989.04,AAA,0.0001,0.25,8.82,2022-10-19,2024-09-02,2,0,0
LON01582,KY,Velez LLC,Shipping,1977.55,1656.58,1731.43,BB,0.02,0.45,7.53,2022-01-24,2023-04-18,1,60,0
LON01583,KY,Murray Inc,Shipping,372.83,287.22,293.46,BB,0.02,0.6,7.04,2023-12-11,2025-02-23,2,60,0
LON01584,BM,"Castro, Lane and Mcbride",RealEstate,538.41,440.52,446.99,A,0.001,0.45,6.78,2021-09-20,2026-06-19,1,0,0
LON01585,BM,Reyes-Rush,InvestmentHoldCo,2423.7,2062.31,2070.29,A,0.001,0.45,6.44,2022-11-14,2032-08-13,1,90,0
LON01586,GU,Alvarez and Sons,Retail,775.33,624.77,626.24,A,0.001,0.25,3.2,2022-04-24,2026-05-07,2,0,0
LON01587,KY,Walker Ltd,PrivateWealth,863.57,682.46,706.32,AAA,0.0001,0.25,8.55,2023-02-12,2029-09-11,2,0,0
LON01588,BM,Quinn Inc,PrivateWealth,355.62,284.1,286.71,BB,0.02,0.45,7.79,2020-12-26,2026-04-14,1,0,0
LON01589,GU,Garrett-Boone,InvestmentHoldCo,260.9,237.06,248.72,BBB,0.005,0.35,8.29,2022-12-09,2031-06-11,1,0,0
LON01590,BM,Ray PLC,Technology,1001.69,814.89,852.69,A,0.001,0.25,3.95,2020-08-12,2026-06-09,1,60,0
LON01591,BM,"Davis, Martin and Jones",Technology,359.93,293.61,304.02,A,0.001,0.35,7.86,2023-11-07,2029-04-04,1,30,0
LON01592,JE,"Vincent, Merritt and Nguyen",Energy,1557.17,1312.88,1352.35,A,0.001,0.6,7.18,2023-01-22,2026-10-19,1,0,0
LON01593,KY,Robinson-Gonzalez,Energy,599.27,511.73,520.49,A,0.001,0.35,6.62,2023-11-21,2027-06-24,1,0,0
LON01594,BM,Bush-Ramirez,RealEstate,449.29,389.84,409.13,B,0.05,0.35,8.42,2021-09-15,2030-11-30,1,0,0
LON01595,BM,"Tran, Burns and Banks",Hospitality,888.62,788.7,826.07,AA,0.0005,0.25,4.33,2022-04-28,2024-03-26,1,30,0
LON01596,KY,Welch-Griffin,RealEstate,313.49,241.63,247.28,BBB,0.005,0.45,6.5,2022-01-07,2030-10-31,1,30,0
LON01597,KY,"Webster, Garcia and Potts",RealEstate,1001.11,997.21,1007.83,BB,0.02,0.25,5.13,2023-04-27,2030-09-29,1,0,0
LON01598,BM,"Herrera, Fisher and Valentine",InvestmentHoldCo,938.79,735.17,756.14,A,0.001,0.6,7.6,2023-07-07,2032-07-16,2,0,0
LON01599,KY,Aguilar Inc,InvestmentHoldCo,616.29,605.94,607.72,BBB,0.005,0.25,8.37,2022-11-11,2032-03-26,1,0,0
LON01600,GU,Mcmahon-Zuniga,Hospitality,3019.67,2494.63,2585.63,A,0.001,0.45,3.11,2024-05-10,2033-05-03,1,30,0
LON01601,KY,Smith PLC,Retail,242.43,239.7,241.62,BBB,0.005,0.35,7.56,2023-09-11,2025-05-05,1,60,0
LON01602,KY,Cox-Henderson,Shipping,921.88,784.25,808.03,AA,0.0005,0.35,5.05,2024-05-26,2028-03-12,1,0,0
LON01603,KY,Campbell Group,RealEstate,2036.24,1935.83,2009.21,BBB,0.005,0.25,4.98,2023-12-01,2031-11-12,1,30,0
LON01604,BM,"Wheeler, Santiago and Moore",InvestmentHoldCo,781.66,665.24,690.04,AA,0.0005,0.25,5.9,2021-04-26,2022-11-30,1,0,0
LON01605,GU,Foster-Shannon,Technology,397.57,382.28,384.85,BBB,0.005,0.25,6.21,2020-11-10,2028-05-24,2,60,0
LON01606,KY,"Price, Rice and Johns",InvestmentHoldCo,445.66,420.23,436.47,BBB,0.005,0.45,3.73,2022-04-30,2030-06-05,1,30,0
LON01607,KY,Wang-Cobb,Shipping,847.29,784.13,807.49,A,0.001,0.6,7.36,2020-12-05,2030-11-05,1,0,0
LON01608,BM,"Curtis, Stewart and Gonzalez",Energy,918.79,808.53,836.7,A,0.001,0.25,8.07,2020-05-25,2026-03-26,3,0,0
LON01609,BM,Moore-Miller,RealEstate,457.97,410.32,415.1,BBB,0.005,0.25,8.48,2019-12-25,2029-05-04,1,60,0
LON01610,BM,Pitts PLC,Retail,977.16,877.1,901.96,B,0.05,0.6,6.99,2022-03-30,2026-12-06,1,0,0
LON01611,KY,Novak-Leon,Energy,1414.87,1131.18,1175.34,BBB,0.005,0.35,4.05,2020-05-20,2028-01-08,1,0,0
LON01612,KY,Rojas Group,InvestmentHoldCo,488.18,398.63,398.96,A,0.001,0.25,8.94,2020-06-10,2024-04-08,1,0,0
LON01613,KY,Miller LLC,Retail,158.61,133.15,135.54,BBB,0.005,0.6,4.39,2020-05-29,2025-02-23,2,30,0
LON01614,KY,Cervantes-Harris,InvestmentHoldCo,549.0,514.75,534.18,B,0.05,0.45,6.99,2022-05-25,2025-03-19,1,0,0
LON01615,JE,"Jacobs, Lee and Price",Energy,573.07,523.74,543.75,AA,0.0005,0.45,5.59,2022-10-24,2031-09-07,1,0,0
LON01616,BM,Rodriguez PLC,Energy,1139.76,895.4,899.5,A,0.001,0.6,7.27,2020-10-19,2021-11-25,1,0,0
LON01617,KY,"Fox, Gutierrez and Waters",PrivateWealth,404.51,324.43,325.24,AAA,0.0001,0.25,4.23,2021-04-25,2022-12-31,3,60,0
LON01618,KY,Larsen and Sons,InvestmentHoldCo,1126.96,883.04,900.68,BBB,0.005,0.25,3.91,2022-03-30,2028-03-11,1,0,0
LON01619,KY,Baker and Sons,Technology,446.67,413.95,420.74,BBB,0.005,0.6,6.7,2023-10-07,2030-07-28,1,90,0
LON01620,BM,Page-Winters,Hospitality,446.95,419.71,438.72,BBB,0.005,0.45,4.63,2019-08-03,2028-03-12,1,0,0
LON01621,BM,Martinez Ltd,Hospitality,1894.77,1703.57,1787.07,AAA,0.0001,0.6,4.9,2019-08-16,2028-07-30,1,0,0
LON01622,BM,Brown-Keith,Hospitality,651.59,513.17,520.68,A,0.001,0.25,6.58,2023-04-21,2029-05-18,1,0,0
LON01623,BM,"Carlson, Grant and Miller",Shipping,1787.34,1439.31,1484.75,BBB,0.005,0.45,5.7,2021-11-01,2025-05-30,1,0,0
LON01624,BM,Sutton-Cox,Energy,625.18,483.88,504.88,BB,0.02,0.25,5.04,2019-07-24,2025-10-23,1,30,0
LON01625,KY,"Sims, Gonzalez and Wilson",PrivateWealth,507.01,474.19,489.46,BBB,0.005,0.35,4.86,2020-12-21,2025-08-12,1,0,0
LON01626,JE,"Williams, Barnes and Owen",Hospitality,1681.13,1316.06,1349.74,B,0.05,0.45,4.82,2023-09-04,2026-10-01,1,0,0
LON01627,BM,"Reid, Park and Simmons",RealEstate,279.9,268.84,272.62,B,0.05,0.35,6.56,2021-10-28,2024-12-22,1,90,0
LON01628,BM,Carroll-Gray,RealEstate,761.46,604.69,631.36,BBB,0.005,0.35,9.0,2021-04-16,2027-09-12,3,60,0
LON01629,GU,"Reynolds, Roach and Wilson",Hospitality,433.21,380.78,397.43,BBB,0.005,0.6,8.96,2024-01-08,2032-09-15,1,30,0
LON01630,BM,"Jones, Jackson and Jenkins",InvestmentHoldCo,378.11,361.93,367.3,A,0.001,0.25,7.79,2023-08-29,2030-02-05,2,0,0
LON01631,BM,"Noble, Martinez and Padilla",Technology,295.08,279.21,288.79,A,0.001,0.45,5.06,2020-02-02,2028-05-24,1,30,0
LON01632,BM,Wood and Sons,PrivateWealth,561.48,539.16,560.77,BBB,0.005,0.25,6.89,2019-09-22,2026-10-19,3,0,0
LON01633,KY,Allen-Lopez,PrivateWealth,797.27,775.81,813.68,BBB,0.005,0.6,5.12,2024-03-16,2026-12-17,1,0,0
LON01634,KY,"Perry, Schmidt and Gross",Hospitality,1152.47,1135.3,1180.46,A,0.001,0.25,4.34,2020-03-28,2026-05-22,1,0,0
LON01635,BM,"Rogers, Kennedy and Ross",RealEstate,1008.83,874.34,880.4,AA,0.0005,0.6,4.89,2020-12-30,2027-06-05,1,0,0
LON01636,KY,"Mason, Melendez and Hoover",PrivateWealth,1578.26,1246.38,1300.42,B,0.05,0.25,6.72,2024-04-18,2033-10-15,1,0,0
LON01637,KY,Gay-Cruz,Retail,789.77,770.58,789.81,BBB,0.005,0.35,6.02,2020-02-07,2021-08-30,1,0,0
LON01638,BM,Woods-Arellano,Hospitality,599.98,527.81,553.45,BB,0.02,0.35,3.88,2021-10-03,2027-07-27,2,60,0
LON01639,GU,James-Jordan,Hospitality,1260.13,1149.63,1174.58,AA,0.0005,0.45,4.58,2022-09-17,2029-11-08,1,0,0
LON01640,BM,"Neal, Sloan and Estrada",Hospitality,578.75,530.28,535.56,BB,0.02,0.25,7.08,2024-01-30,2027-08-18,1,90,0
LON01641,BM,"Glass, Woods and Lambert",RealEstate,1682.72,1452.65,1513.46,A,0.001,0.25,6.33,2024-01-28,2027-05-28,1,0,0
LON01642,KY,Edwards-Patel,Technology,2140.36,2074.39,2110.14,B,0.05,0.35,4.43,2023-08-16,2030-03-25,1,0,0
LON01643,BM,"Lawson, Webster and Butler",Shipping,166.8,162.54,163.64,BB,0.02,0.25,3.26,2023-10-25,2032-02-18,1,60,0
LON01644,JE,Fitzgerald LLC,RealEstate,1340.55,1049.45,1064.08,B,0.05,0.25,6.18,2020-06-21,2021-12-14,1,60,0
LON01645,BM,Olsen-Harris,InvestmentHoldCo,630.11,551.57,561.7,A,0.001,0.25,3.9,2024-01-20,2028-06-24,1,0,0
LON01646,BM,Holmes PLC,PrivateWealth,1892.64,1459.64,1512.68,BB,0.02,0.35,5.02,2020-07-15,2023-01-10,1,30,0
LON01647,KY,"Rivera, Foster and Sutton",Hospitality,233.69,188.78,189.28,B,0.05,0.25,5.75,2023-06-18,2033-04-12,1,0,0
LON01648,JE,Brown Ltd,Hospitality,1058.52,839.53,855.24,A,0.001,0.6,6.08,2021-04-09,2029-01-29,1,0,0
LON01649,JE,Carey LLC,Shipping,712.17,619.98,633.16,A,0.001,0.45,8.09,2020-04-04,2024-02-06,1,90,0
LON01650,KY,Dickerson PLC,InvestmentHoldCo,290.74,252.16,262.43,BBB,0.005,0.35,5.4,2021-08-28,2023-07-22,1,90,0
LON01651,KY,"Peterson, Lopez and Morris",PrivateWealth,1304.36,1103.33,1148.49,A,0.001,0.25,5.17,2024-06-16,2032-11-17,1,0,0
LON01652,JE,Powers-Dickerson,RealEstate,254.7,231.92,234.52,AA,0.0005,0.25,4.76,2022-07-27,2025-02-10,1,90,0
LON01653,KY,"Steele, Wright and Villegas",Hospitality,1894.49,1500.91,1541.34,BBB,0.005,0.45,5.12,2020-06-25,2025-12-28,1,90,0
LON01654,KY,Barnes-Cohen,Hospitality,1742.89,1473.69,1481.31,B,0.05,0.25,5.98,2020-09-05,2024-03-18,1,60,0
LON01655,GU,Santiago-Allen,Retail,222.48,193.67,198.09,BB,0.02,0.35,8.81,2020-05-02,2024-07-12,1,90,0
LON01656,BM,Garcia LLC,Shipping,458.16,368.0,376.52,BBB,0.005,0.35,6.87,2020-04-27,2025-02-08,1,0,0
LON01657,JE,"Holder, Duncan and Rogers",Energy,353.9,325.69,336.02,BBB,0.005,0.6,7.73,2022-09-05,2028-06-26,1,0,0
LON01658,BM,Brown Inc,RealEstate,484.69,474.71,477.34,BBB,0.005,0.25,4.47,2020-04-15,2025-09-24,2,90,0
LON01659,BM,Bryan and Sons,Retail,1001.99,851.71,891.89,A,0.001,0.6,3.2,2020-12-14,2029-10-20,1,90,0
LON01660,KY,Wood and Sons,Shipping,1072.72,893.78,920.69,BB,0.02,0.6,6.02,2023-08-26,2030-05-22,1,0,0
LON01661,BM,Walker Group,Technology,394.68,371.74,372.05,BBB,0.005,0.25,3.51,2022-08-10,2030-04-22,1,0,0
LON01662,BM,Washington-Roberts,Technology,604.36,489.91,490.63,BB,0.02,0.6,6.72,2022-12-10,2026-02-01,1,0,0
LON01663,KY,"Taylor, Gonzalez and Cooper",RealEstate,325.26,276.81,289.07,BBB,0.005,0.6,8.57,2023-08-08,2032-03-13,1,0,0
LON01664,KY,Brooks Group,Shipping,497.82,431.07,451.37,AA,0.0005,0.25,3.74,2021-10-28,2026-08-01,1,0,0
LON01665,JE,Kramer-Evans,Shipping,452.23,352.0,367.81,BB,0.02,0.35,4.04,2024-06-04,2028-11-21,1,0,0
LON01666,KY,Morales Group,PrivateWealth,823.14,726.98,753.29,BB,0.02,0.35,8.29,2023-10-25,2033-08-05,1,0,0
LON01667,KY,"Osborn, Blair and Watts",Technology,756.02,660.38,692.16,BB,0.02,0.6,8.17,2022-06-05,2029-05-24,1,0,0
LON01668,KY,"Freeman, Villarreal and Hughes",Retail,508.34,465.44,487.22,BBB,0.005,0.25,8.49,2022-09-01,2024-12-27,1,0,0
LON01669,GU,Flores-Wang,InvestmentHoldCo,807.35,629.52,644.55,BB,0.02,0.35,8.36,2021-04-05,2028-03-21,2,0,0
LON01670,KY,Obrien-Ramirez,InvestmentHoldCo,391.08,349.62,365.02,BB,0.02,0.35,6.0,2023-03-20,2024-12-13,1,0,0
LON01671,BM,"Mason, Gilbert and Pugh",Hospitality,277.51,218.74,221.44,BBB,0.005,0.35,5.15,2024-05-22,2033-09-26,1,0,0
LON01672,KY,Nelson Inc,PrivateWealth,2148.27,1824.23,1851.89,BBB,0.005,0.25,3.2,2021-09-29,2029-08-01,1,0,0
LON01673,KY,Davis Inc,Retail,1304.13,1272.21,1328.42,BB,0.02,0.45,3.57,2022-12-13,2025-05-03,1,0,0
LON01674,BM,Krause PLC,Technology,638.62,508.41,508.55,BBB,0.005,0.25,6.76,2024-06-24,2030-03-14,1,90,0
LON01675,KY,Wilson-Ramos,InvestmentHoldCo,1042.17,1023.36,1046.11,A,0.001,0.25,5.36,2022-09-26,2025-12-08,1,60,0
LON01676,BM,Wilkinson-Jones,RealEstate,491.08,444.58,459.45,A,0.001,0.6,5.79,2021-02-07,2022-11-19,1,0,0
LON01677,GU,"Moss, Rodriguez and Ochoa",Energy,384.4,367.66,371.04,BBB,0.005,0.35,5.04,2023-02-08,2030-01-21,1,90,0
LON01678,BM,Combs Group,RealEstate,1061.03,1015.38,1022.24,AAA,0.0001,0.25,5.33,2023-09-09,2033-01-28,1,90,0
LON01679,JE,"Hansen, Smith and Miller",Shipping,282.37,265.66,267.87,BBB,0.005,0.25,5.26,2020-02-24,2021-07-30,1,0,0
LON01680,BM,"Wong, Walker and Reyes",PrivateWealth,1045.06,856.11,859.57,BBB,0.005,0.35,6.79,2020-03-30,2025-06-13,1,0,0
LON01681,KY,"Evans, Daniel and Villa",Retail,210.21,163.95,164.6,BB,0.02,0.35,3.53,2023-08-02,2024-11-13,2,0,0
LON01682,BM,Bowers-Gates,Retail,1411.43,1103.76,1151.81,AA,0.0005,0.25,4.73,2021-10-27,2031-08-04,1,0,0
